At time 0, Job 1 arrives.
At time 11, Job 1 finishes at CPU.
At time 20, Job 2 arrives.
At time 27, Job 1 arrives at Disk.
At time 33, Job 2 finishes at CPU.
At time 38, Job 3 arrives.
At time 45, Job 1 finished I/O at Disk 2.
At time 47, Job 2 arrives at Disk.
At time 54, Job 4 arrives.
At time 54, Job 3 finishes at CPU.
At time 65, Job 1 arrives.
At time 65, Job 3 arrives at Disk.
At time 72, Job 5 arrives.
At time 80, Job 6 arrives.
At time 84, Job 4 finishes at CPU.
At time 85, Job 3 finished I/O at Disk 2.
At time 88, Job 7 arrives.
At time 95, Job 4 arrives at Disk.
At time 97, Job 8 arrives.
At time 99, Job 3 arrives.
At time 99, Job 1 finishes at CPU.
At time 107, Job 9 arrives.
At time 109, Job 11 arrives.
At time 112, Job 10 arrives.
At time 114, Job 4 finished I/O at Disk 2.
At time 114, Job 1 arrives at Disk.
At time 117, Job 12 arrives.
At time 117, Job 5 finishes at CPU.
At time 125, Job 13 arrives.
At time 125, Job 1 finished I/O at Disk 2.
At time 131, Job 14 arrives.
At time 132, Job 4 arrives.
At time 134, Job 15 arrives.
At time 134, Job 5 arrives at Disk.
At time 135, Job 16 arrives.
At time 136, Job 1 arrives.
At time 144, Job 6 finishes at CPU.
At time 148, Job 19 arrives.
At time 148, Job 5 finished I/O at Disk 2.
At time 149, Job 18 arrives.
At time 151, Job 17 arrives.
At time 152, Job 20 arrives.
At time 154, Job 21 arrives.
At time 158, Job 6 arrives at Disk.
At time 158, Job 7 finishes at CPU.
At time 158, Job 5 arrives.
At time 160, Job 23 arrives.
At time 164, Job 25 arrives.
At time 166, Job 22 arrives.
At time 167, Job 24 arrives.
At time 168, Job 26 arrives.
At time 173, Job 27 arrives.
At time 175, Job 6 finished I/O at Disk 2.
At time 176, Job 7 arrives at Disk.
At time 176, Job 8 finishes at CPU.
At time 180, Job 28 arrives.
At time 181, Job 29 arrives.
At time 183, Job 30 arrives.
At time 185, Job 31 arrives.
At time 185, Job 33 arrives.
At time 186, Job 32 arrives.
At time 187, Job 6 arrives.
At time 191, Job 8 arrives at Disk.
At time 193, Job 3 finishes at CPU.
At time 193, Job 3 exits.
At time 193, Job 35 arrives.
At time 194, Job 34 arrives.
At time 194, Job 36 arrives.
At time 196, Job 38 arrives.
